Issue Type,Summary,Description,Issue Key,Parent ID,Epic Name,Epic Link,Feature ID,Priority,Story Points,Sprint,Labels,Acceptance Criteria
Sub-task,[T-22-04] Add download link per version,Implementation task for US-22: Add download link per version,T-22-04,US-22,,,F-12,P0,,S4,task,
Sub-task,[T-23-01] Implement GET /audit?pipeline_run_id= API,Implementation task for US-23: Implement GET /audit?pipeline_run_id= API,T-23-01,US-23,,,F-13,P0,,S3,task,
Sub-task,[T-23-02] Build Audit screen table,Implementation task for US-23: Build Audit screen table,T-23-02,US-23,,,F-13,P0,,S3,task,
Sub-task,[T-23-03] Standardize audit event schema across worker,Implementation task for US-23: Standardize audit event schema across worker,T-23-03,US-23,,,F-13,P0,,S3,task,
Sub-task,[T-23-04] Include audit summary in export manifest,Implementation task for US-23: Include audit summary in export manifest,T-23-04,US-23,,,F-13,P0,,S3,task,
Sub-task,[T-24-01] Configure Temporal worker graceful shutdown,Implementation task for US-24: Configure Temporal worker graceful shutdown,T-24-01,US-24,,,F-03,P0,,S2,task,
Sub-task,[T-24-02] Test worker restart during review wait,Implementation task for US-24: Test worker restart during review wait,T-24-02,US-24,,,F-03,P0,,S2,task,
Sub-task,[T-24-03] Test worker restart during activity execution,Implementation task for US-24: Test worker restart during activity execution,T-24-03,US-24,,,F-03,P0,,S2,task,
Sub-task,[T-24-04] Document recovery behavior,Implementation task for US-24: Document recovery behavior,T-24-04,US-24,,,F-03,P0,,S2,task,
Sub-task,[T-25-01] Implement Bearer token middleware,Implementation task for US-25: Implement Bearer token middleware,T-25-01,US-25,,,F-INFRA,P0,,S2,task,
Sub-task,[T-25-02] Configure token via environment variable,Implementation task for US-25: Configure token via environment variable,T-25-02,US-25,,,F-INFRA,P0,,S2,task,
Sub-task,[T-25-03] Wire token into React API client,Implementation task for US-25: Wire token into React API client,T-25-03,US-25,,,F-INFRA,P0,,S2,task,
Sub-task,[T-26-01] Build app shell with React Router,Implementation task for US-26: Build app shell with React Router,T-26-01,US-26,,,F-16,P0,,S2,task,
Sub-task,[T-26-02] Implement nav bar and route guards,Implementation task for US-26: Implement nav bar and route guards,T-26-02,US-26,,,F-16,P0,,S2,task,
Sub-task,[T-26-03] Add empty states per screen,Implementation task for US-26: Add empty states per screen,T-26-03,US-26,,,F-16,P0,,S2,task,
Sub-task,[T-27-01] Execute demo acceptance script,Implementation task for US-27: Execute demo acceptance script,T-27-01,US-27,,,F-15,P0,,S5,task,
Sub-task,[T-27-02] Document success metrics results,Implementation task for US-27: Document success metrics results,T-27-02,US-27,,,F-15,P0,,S5,task,
Sub-task,[T-27-03] Write MVP release notes,Implementation task for US-27: Write MVP release notes,T-27-03,US-27,,,F-15,P0,,S5,task,
Sub-task,[T-27-04] Stakeholder demo and sign-off,Implementation task for US-27: Stakeholder demo and sign-off,T-27-04,US-27,,,F-15,P0,,S5,task,
